analysis_id,jm31if3f37981sb
mouse_life_stage,Early adult
gene_symbol,Cds2
parameter_id,IMPC_CSD_051_002
mouse_strain,C57BL
gene_accession_id,MGI:1332236
parameter_name,Hindlimb nail - number
pvalue,0.8960933
