analysis_id,0g987w971395n94
gene_accession_id,MGI:88328
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.732686
parameter_name,Alkaline phosphatase
parameter_id,HRWLLA_CBC_014_001
gene_symbol,Tnfsf8
