analysis_id,9c1x46nls47f7c0
gene_accession_id,MGI:2443129
gene_symbol,Golm2
parameter_id,IMPC_OFD_016_001
mouse_life_stage,Early adult
pvalue,0.9619136
parameter_name,Center permanence time
mouse_strain,C57BL
