analysis_id,8ur4710a46733c1
gene_symbol,Mgst2
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
pvalue,0.1482401
parameter_id,MGP_IMM_026_001
gene_accession_id,MGI:2448481
mouse_life_stage,Early adult
mouse_strain,C57BL
