mouse_life_stage,Early adult
gene_symbol,Rufy4
parameter_name,Corneal vascularization
mouse_strain,C57BL
gene_accession_id,MGI:3588214
parameter_id,IMPC_EYE_009_001
pvalue,0.7358072
analysis_id,4f3fwspr0uuk9co
