analysis_id,uwb4218c5lfxv34
parameter_id,UCDLA_EYE_017_001
gene_symbol,Trdmt1
gene_accession_id,MGI:1274787
pvalue,0.3722185
parameter_name,Lens Opacity
mouse_strain,C57BL
mouse_life_stage,Early adult
