gene_symbol,Slc45a3
parameter_name,CD4+ T helper cells - % of CD45+
gene_accession_id,MGI:1922082
analysis_id,2zk5z883ib71jw8
pvalue,0.8672048
parameter_id,MGP_IMM_072_001
mouse_strain,C57BL
mouse_life_stage,Early adult
