parameter_name,Time mobile dark side
gene_accession_id,MGI:2684980
analysis_id,4a296766ua75dpm
mouse_life_stage,Early adult
parameter_id,JAX_LDT_005_001
pvalue,0.3957319
gene_symbol,Mms22l
mouse_strain,C57BL
