parameter_name,center - resting time
pvalue,1.027167
parameter_id,M-G-P_007_001_011
gene_accession_id,MGI:88479
mouse_life_stage,Early adult
analysis_id,rn8a9x996yy5616
gene_symbol,Cpa3
mouse_strain,C57BL
