gene_symbol,Stk35
analysis_id,1x4e6483695m658
mouse_life_stage,Early adult
mouse_strain,C52BL
pvalue,0.4786694
parameter_id,MGP_CSD_066_001
parameter_name,Snout morphology
gene_accession_id,MGI:1914583
