gene_symbol,Tatdn3
pvalue,0.4552375
parameter_id,MGP_PBI_035_001
analysis_id,v0ozenf5977ollb
parameter_name,IgD+ mature B cell number
mouse_life_stage,Early adult
mouse_strain,C56BL
gene_accession_id,MGI:1916222
