gene_symbol,Dnajc5b
pvalue,0.5526173
analysis_id,48798o42o3azi62
parameter_id,IMPC_ECG_010_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1913576
parameter_name,HRV
mouse_strain,C57BL
