parameter_name,Snout size
gene_accession_id,MGI:1345282
mouse_life_stage,Middle aged adult
parameter_id,IMPC_CSD_028_001
analysis_id,4t3e7469hs6098t
gene_symbol,Slc30a4
mouse_strain,C57BL
pvalue,0.3719178
