parameter_id,HRWLLA_OFD_017_001
pvalue,0.3955172
gene_symbol,Pglyrp3
analysis_id,zi81key6e05v13i
parameter_name,Center average speed
mouse_strain,C57BL
gene_accession_id,MGI:2685266
mouse_life_stage,Early adult
