analysis_id,fx1pu99yor7jwuo
parameter_id,IMPC_DXA_009_001
gene_symbol,Etfdh
pvalue,0.6110426
parameter_name,Fat/Body weight
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:106100
