analysis_id,5r9j1ztx80n27ic
pvalue,0.9675886
parameter_name,Pale yolk sac
parameter_id,IMPC_GEL_017_002
gene_symbol,Inpp1
gene_accession_id,MGI:104848
mouse_strain,129SV
mouse_life_stage,Early adult
