gene_symbol,Ssr2
gene_accession_id,MGI:1913506
parameter_id,MGP_PBI_015_001
parameter_name,IgD+ mature B cell percentage
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.8049349
analysis_id,w7t5fwg74w683g4
