mouse_strain,129SV
gene_symbol,Zmynd8
mouse_life_stage,Early adult
pvalue,0.8988167
gene_accession_id,MGI:1918025
analysis_id,ttwhn08ykut19ro
parameter_id,ESLIM_011_001_703
parameter_name,Prepulse inhibition - PP3
