analysis_id,t1h08rdtb500558
mouse_life_stage,Early adult
pvalue,0.05247915
mouse_strain,C57BL
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
parameter_id,MGP_MLN_005_001
gene_symbol,Amigo1
gene_accession_id,MGI:2653612
