parameter_name,Tremor
analysis_id,72g18k53363s104
mouse_life_stage,Early adult
gene_symbol,GPBP1L1
parameter_id,IMPC_CSD_030_001
mouse_strain,C57BL
pvalue,0.510222
gene_accession_id,MGI:1924360
