parameter_name,Latency to center entry
mouse_life_stage,Early adult
gene_accession_id,MGI:95457
analysis_id,07387329ll2q1wb
mouse_strain,C3H
pvalue,0.5179026
gene_symbol,Mecom
parameter_id,IMPC_OFD_018_001
