analysis_id,jiz46794076wk75
gene_accession_id,MGI:2444554
parameter_id,JAX_LDT_008_001
gene_symbol,Mapkap1
pvalue,0.1662378
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Percent time in dark
