analysis_id,4j60z67463c7ue4
gene_symbol,Fgb
gene_accession_id,MGI:99501
pvalue,0.6184079
parameter_id,IMPC_GEL_029_001
parameter_name,Midbrain
mouse_strain,C57BL
mouse_life_stage,E12.5
