gene_symbol,Il1r1
pvalue,0.8224171
parameter_id,MGP_MLN_071_001
mouse_life_stage,Early adult
parameter_name,Resting Treg cells - % of CD45+
gene_accession_id,MGI:96545
mouse_strain,C57BL
analysis_id,42276y494u26mc2
