gene_symbol,Arpc5l
parameter_id,TCPLA_XRY_033_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.9514583
analysis_id,4s39en809025y64
gene_accession_id,MGI:1921442
parameter_name,Tibia length
