gene_symbol,Bdh2
gene_accession_id,MGI:1917022
parameter_name,Hemoglobin
pvalue,0.539833
mouse_strain,C57BL
analysis_id,8708g0xf2q2y3g4
parameter_id,IMPC_HEM_003_001
mouse_life_stage,Early adult
