analysis_id,50523o83ry2vaup
mouse_life_stage,Early adult
pvalue,0.6417335
parameter_name,Resting CD8+ T cells - % of CD8+
parameter_id,MGP_MLN_014_001
mouse_strain,C57BL
gene_accession_id,MGI:103302
gene_symbol,Bmp7
