analysis_id,574f0owl23w55ux
gene_accession_id,MGI:1916043
mouse_strain,C57BL
pvalue,0.9644748
parameter_id,IMPC_CBC_025_001
parameter_name,LDL-cholesterol
gene_symbol,Rab3gap2
mouse_life_stage,Early adult
