parameter_id,IMPC_GRS_011_001
mouse_life_stage,Middle aged adult
gene_symbol,Lpgat1
mouse_strain,C53BL
analysis_id,a692b48b878wszz
gene_accession_id,MGI:2446186
pvalue,0.8865751
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
