analysis_id,6h8257j84489ul4
mouse_life_stage,Early adult
pvalue,0.4973921
gene_accession_id,MGI:1916043
parameter_id,IMPC_XRY_024_001
mouse_strain,C57BL
parameter_name,Femur
gene_symbol,Rab3gap2
