parameter_name,Eosinophil number
gene_accession_id,MGI:1913576
analysis_id,3tzkp53ar1uceaw
pvalue,0.4565042
mouse_life_stage,Early adult
gene_symbol,Dnajc5b
mouse_strain,C57BL
parameter_id,MGP_PBI_040_001
