parameter_name,Hindpaw - size
gene_symbol,Pglyrp3
analysis_id,3c2zaj877509395
mouse_strain,C57BL
gene_accession_id,MGI:2685266
mouse_life_stage,Early adult
pvalue,0.08408201
parameter_id,JAXLA_CSD_041_002
