gene_symbol,Orc2
mouse_strain,C57BL
mouse_life_stage,E9.5
analysis_id,8yl136hiy85396x
parameter_name,Breath rate during sleep standard deviation
parameter_id,JAX_SLW_014_001
pvalue,0.7778979
gene_accession_id,MGI:1328306
