analysis_id,6140p447boos352
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_064_001
gene_accession_id,MGI:2685277
pvalue,0.4912694
mouse_strain,C57BL
parameter_name,B1B Cells
gene_symbol,Zyg11b
