gene_symbol,Rgs20
analysis_id,grpo802725irtp7
pvalue,0.4141278
mouse_life_stage,Early adult
parameter_name,Humerus
mouse_strain,C57BL
parameter_id,IMPC_XRY_021_001
gene_accession_id,MGI:1929866
