analysis_id,hxh490maox2840a
gene_symbol,Arpc2
mouse_strain,C57BL
pvalue,0.8979383
parameter_id,ESLIM_001_001_117
parameter_name,eye size
gene_accession_id,MGI:1923959
mouse_life_stage,Early adult
