gene_symbol,Rufy4
analysis_id,449n82g132k3q72
mouse_life_stage,Early adult
gene_accession_id,MGI:3588214
parameter_name,CD4+ KLRG1+ alpha beta T cell number
parameter_id,MGP_PBI_032_001
mouse_strain,C57BL
pvalue,0.5183136
