analysis_id,v2b3549y0a72us5
mouse_strain,C52BL
gene_accession_id,MGI:88461
parameter_name,Clavicle
pvalue,0.3435644
parameter_id,IMPC_XRY_007_001
gene_symbol,COL6A3
mouse_life_stage,Early adult
