analysis_id,203576u6e508l3n
mouse_life_stage,Early adult
parameter_id,HRWLLA_DXA_007_001
mouse_strain,C57BL
pvalue,0.9872596
parameter_name,BMC/Body weight
gene_symbol,Gpbp1l1
gene_accession_id,MGI:1924360
