parameter_id,HRWLLA_CSD_008_001
pvalue,0.7780384
parameter_name,Coat - color pattern - back
mouse_strain,129SV
analysis_id,5m76s3kckl883tz
gene_symbol,Inpp1
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
