analysis_id,4lswl390463j549
mouse_life_stage,Early adult
parameter_id,ESLIM_011_001_006
mouse_strain,C57BL
gene_symbol,Pld1
parameter_name,110dB startle magnitude
gene_accession_id,MGI:109585
pvalue,0.8609936
