parameter_name,Aspartate aminotransferase
pvalue,0.5627669
analysis_id,4l3n9v9a5ym54nh
gene_accession_id,MGI:2385156
parameter_id,IMPC_CBC_012_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Sdcbp2
