analysis_id,m03qu5eb9iv5wyn
mouse_life_stage,Early adult
mouse_strain,C53BL
pvalue,0.4302132
gene_accession_id,MGI:1914515
gene_symbol,Slc39a10
parameter_id,IMPC_CBC_008_001
parameter_name,Total bilirubin
