gene_symbol,Snrpb2
analysis_id,weih3u4814z218v
pvalue,0.5674318
gene_accession_id,MGI:104805
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_IMM_004_002
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
