parameter_name,Lean mass
pvalue,0.118006
parameter_id,IMPC_DXA_003_001
gene_symbol,Cntfr
mouse_life_stage,Early adult
analysis_id,4xa001z3086yxw7
mouse_strain,129SV
gene_accession_id,MGI:99605
