gene_symbol,Med22
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:98446
parameter_id,M-G-P_016_001_006
parameter_name,Mean-corpuscular-haemoglobin
analysis_id,3e8433q35lh834b
pvalue,0.4868866
