analysis_id,hny20up8nyypd48
parameter_name,Body Weight
gene_accession_id,MGI:109384
mouse_life_stage,Early adult
parameter_id,M-G-P_020_001_001
gene_symbol,Atf3
mouse_strain,C57BL
pvalue,0.2312857
