parameter_name,Distance travelled - total
analysis_id,a3l6401jo7471ge
mouse_strain,129SV
pvalue,0.194817
parameter_id,IMPC_OFD_020_001
gene_symbol,Bpifa3
mouse_life_stage,Early adult
gene_accession_id,MGI:1920638
