gene_symbol,Trp53i11
gene_accession_id,MGI:2670995
parameter_id,MGP_MLN_058_001
pvalue,0.3813666
parameter_name,Plasmacytoid DC - % of DC
analysis_id,144b31p1f493cbo
mouse_life_stage,Early adult
mouse_strain,C57BL
