parameter_name,Heart weight
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_symbol,Mapkap1
parameter_id,HMGULA_HWT_008_001
pvalue,0.5917095
analysis_id,417lmv3zz4t9b86
gene_accession_id,MGI:2444554
