analysis_id,4svp7ggh59swk6k
pvalue,0.3158614
mouse_strain,C57BL
gene_accession_id,MGI:2446274
mouse_life_stage,Middle aged adult
parameter_id,ESLIM_014_001_008
parameter_name,Cornea vascularisation
gene_symbol,Frmpd1
