parameter_name,Eosinophils
analysis_id,75gb3cjtt79k6yf
parameter_id,IMPC_IMM_052_001
pvalue,0.2612271
gene_symbol,Bpifa3
mouse_strain,C57BL
gene_accession_id,MGI:1920638
mouse_life_stage,Early adult
