analysis_id,z7uua01dx894l21
parameter_id,ESLIM_011_001_705
pvalue,0.3760868
gene_symbol,Dcaf12
mouse_strain,C57BL
gene_accession_id,MGI:1916220
mouse_life_stage,Early adult
parameter_name,Global prepulse inhibition
