analysis_id,791wp9xj38u1i3z
parameter_name,Total CD8+ T cells - % of ab T cells
mouse_life_stage,Early adult
gene_symbol,Tubb4b
gene_accession_id,MGI:1915472
mouse_strain,C57BL
parameter_id,MGP_IMM_013_001
pvalue,0.5645918
