analysis_id,vhwyj7r0x3vyw2r
pvalue,0.8927677
parameter_id,M-G-P_008_001_013
parameter_name,Startle Response
gene_accession_id,MGI:1921262
gene_symbol,Rap2b
mouse_life_stage,Early adult
mouse_strain,C57BL
