gene_symbol,Dmap1
pvalue,0.2011182
parameter_name,KLRG1+ Treg cells - % of CD45+
mouse_life_stage,Early adult
analysis_id,v8v9tj06349s73m
mouse_strain,C57BL
gene_accession_id,MGI:1913483
parameter_id,MGP_MLN_072_001
