parameter_name,PQ
gene_accession_id,MGI:2685266
mouse_strain,C57BL
pvalue,0.3044881
analysis_id,32m9vnp4b8l3o03
mouse_life_stage,Early adult
gene_symbol,Pglyrp3
parameter_id,IMPC_ECG_005_001
