analysis_id,42fn0h2x8xv5n13
parameter_id,IMPC_GEL_060_001
mouse_life_stage,Early adult
gene_symbol,Trp53rkb
gene_accession_id,MGI:1914050
parameter_name,Neural tube morphology
pvalue,0.1517775
mouse_strain,C57BL
