analysis_id,c2plgw3e5p86t32
gene_symbol,Cldn19
gene_accession_id,MGI:3033992
mouse_strain,C57BL
pvalue,0.1348105
parameter_name,% Pre-pulse inhibition - PPI1
mouse_life_stage,Early adult
parameter_id,IMPC_ACS_033_001
