parameter_name,Lean mass
mouse_strain,C57BL
analysis_id,1ed34622384uv22
parameter_id,IMPC_DXA_003_001
gene_symbol,Rab17
pvalue,0.1166709
mouse_life_stage,Early adult
gene_accession_id,MGI:104640
