gene_symbol,Zmynd8
parameter_name,Head morphology
analysis_id,8537346r8256618
parameter_id,MGP_CSD_064_001
mouse_strain,C57BL
pvalue,0.6323852
gene_accession_id,MGI:1918025
mouse_life_stage,Early adult
