gene_symbol,Cdin1
mouse_life_stage,Early adult
pvalue,0.1054109
analysis_id,3632mi4eyb6n3db
mouse_strain,C57BL
parameter_name,Retina (combined)
gene_accession_id,MGI:3026886
parameter_id,IMPC_EYE_092_002
