analysis_id,7sowu82n37u8xqt
gene_symbol,Lpgat1
mouse_life_stage,E18.5
mouse_strain,C57BL
parameter_name,Glucose response AUC
gene_accession_id,MGI:2446186
parameter_id,ESLIM_004_001_701
pvalue,0.7443154
