gene_symbol,Bmp7
parameter_name,KLRG1+ gd T cells - % of gd T cells
mouse_life_stage,Early adult
gene_accession_id,MGI:103302
parameter_id,MGP_MLN_021_001
analysis_id,4n9cs1a89efkq79
pvalue,0.7956801
mouse_strain,C57BL
